fga,fg3a,fta,per,ts_pct,usg_pct,bpm,season,player,win_pct,votes_first,points_won,points_max,award_share,g,mp_per_g,pts_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,fg_pct,fg3_pct,ft_pct,ws,ws_per_48
16.9,0,5.8,25.3,0.639,24.1,7.2,1979-80,Kareem Abdul-Jabbar,0.731707317,147,147,221,0.665,82,38.3,24.8,10.8,4.5,1,3.4,0.604,0,0.765,14.8,0.227
20.7,0.3,6.8,25.4,0.568,30.3,7.6,1979-80,Julius Erving,0.719512195,31.5,31.5,221,0.143,78,36.1,26.9,7.4,4.6,2.2,1.8,0.519,0.2,0.787,12.5,0.213
24.9,1.3,7.6,24,0.587,31.7,3.9,1979-80,George Gervin,0.5,19,19,221,0.086,78,37.6,33.1,5.2,2.6,1.4,1,0.528,0.314,0.852,10.6,0.173
17.8,1.7,4.4,20.5,0.538,25.3,4.5,1979-80,Larry Bird,0.743902439,15,15,221,0.068,82,36,21.3,10.4,4.5,1.7,0.6,0.474,0.406,0.836,11.2,0.182
9.9,0.2,5.4,15.3,0.574,17,1.1,1979-80,Tiny Archibald,0.743902439,2,2,221,0.009,80,35.8,14.1,2.5,8.4,1.3,0.1,0.482,0.222,0.83,8.9,0.148
16.8,0.7,6,15.9,0.489,24.2,1.3,1979-80,Dennis Johnson,0.682926829,2,2,221,0.009,81,36.3,19,5.1,4.1,1.8,1,0.422,0.207,0.78,7.4,0.12
12.4,0,5.7,19.7,0.551,22.8,2.9,1979-80,Dan Roundfield,0.609756098,2,2,221,0.009,81,32,16.5,10.3,2.3,1.2,1.7,0.499,0,0.71,9.1,0.169
18.7,0.4,5.1,20.6,0.529,25.2,4.7,1979-80,Gus Williams,0.682926829,1.5,1.5,221,0.007,82,36.2,22.1,3.4,4.8,2.4,0.5,0.482,0.194,0.788,11.6,0.187
18.9,0.1,9.5,24.1,0.56,27.6,2.1,1979-80,Moses Malone,0.5,1,1,221,0.005,82,38.3,25.8,14.5,1.8,1,1.3,0.502,0,0.719,11.9,0.183
18.6,0.2,6.5,25.1,0.572,28.4,7.5,1980-81,Julius Erving,0.756097561,28,454,690,0.658,82,35,24.6,8,4.4,2.1,1.8,0.521,0.222,0.787,13.8,0.231
18.3,0.9,4,19.9,0.528,24.3,4.3,1980-81,Larry Bird,0.756097561,20,423,690,0.613,82,39.5,21.2,10.9,5.5,2,0.8,0.478,0.27,0.863,10.8,0.16
18.2,0,6.9,25.5,0.616,26.3,6.1,1980-81,Kareem Abdul-Jabbar,0.658536585,8,286,690,0.414,80,37.2,26.2,10.3,3.4,0.7,2.9,0.574,0,0.766,14.3,0.23
19.3,0,10.1,25.1,0.585,27.6,3.3,1980-81,Moses Malone,0.487804878,8,180,690,0.261,80,40.6,27.8,14.8,1.8,1,1.9,0.522,0.333,0.757,13.7,0.202
21.1,0.4,7.6,22.9,0.555,32.3,2.9,1980-81,George Gervin,0.634146341,1,83,690,0.12,82,33.7,27.1,5.1,3.2,1.1,0.7,0.492,0.257,0.826,10.5,0.182
15.2,0.1,5,22,0.583,23.3,5.6,1980-81,Marques Johnson,0.731707317,1,73,690,0.106,76,33.4,20.3,6.8,4.6,1.5,0.5,0.552,0,0.706,11.2,0.211
14.2,0,4.8,25.2,0.579,27.1,5.4,1980-81,Robert Parish,0.756097561,0,53,690,0.077,82,28,18.9,9.5,1.8,1,2.6,0.545,0,0.71,10.9,0.228
15.4,0.6,6.3,17,0.516,24.6,1.8,1980-81,Dennis Johnson,0.695121951,0,50,690,0.072,79,33.1,18.8,4.6,3.7,1.7,0.8,0.436,0.216,0.82,8.4,0.154
9.6,0.1,5.2,14.3,0.582,17.5,-0.1,1980-81,Tiny Archibald,0.756097561,0,32,690,0.046,80,35.3,13.8,2.2,7.7,0.9,0.2,0.499,0,0.816,6.9,0.118
